menu_item_id,title,directions,category
5445da62-e213-4f71-b2b0-8b6073647102,Teriyaki Steak,"Marinate for at least 1 hour. Grill over hot coals for about 4 minutes on each side for a 1 inch, rare steak. 5 to 6 minutes for medium-rare.",
16c36c7a-a6b0-4aca-9f6e-a178074dc15e,Maryland Fried Chicken,"Shake chicken with flour, salt and pepper in a plastic bag until thoroughly coated. Reserve 1 tablespoon of the flour mixture.

Pour enough oil into a large deep skillet to make a half inch depth. Heat to 375 degrees on a deep-fat frying thermometer or until a cube of bread turns golden in about 6ty seconds.

Carefully place a single layer of chicken pieces in hot oil; do not crowd pan. Cover and fry for 5 minutes. Uncover and fry until underside is a rich golden brown. Turn pieces, cover and fry for 5 more minutes. Uncover and fry until golden brown. Remove from skillet and drain on paper towels. Repeat with remaining chicken. Pour off oil from skillet. Return 2 tablespoons of oil to the skillet. Add water. Return all chicken to the skillet, skin side up. Cover and cook over low heat for 20 minutes or until chicken is 10der. Remove to serving platter and keep warm. Pour off fat from skillet.

Melt butter in skillet. Sprinkle reserved 1 tablespoon seas1d flour over butter and cook for 1 minute. Add milk, stirring and scrapping up brown bits. Cook, stirring constantly until thickened. Spoon some of the gravy over chicken and pour remainder into a gravy boat and serve separately.",
a708ab2d-b79e-4577-80fb-a30fa155445f,Hot Crab Dip,Stir together all ingredients and top with cheddar cheese. Bake for 15-20 minutes. Serve with crackers.,
024f545f-a8af-4244-8c9e-da2b92633d59,Lemon Squares,"Mix first 3 ingredients well.  Press into 8""x8""x2"" pan.  Build up 1/2"" edge.  Bake 20 minutes at 350 degrees.  Beat remaining 6 ingredients until light and fluffy.  Pour over hot crust.  Bake another 25 minutes.  Cool.  Dust with the powdered sugar.  Cut into squares.",Cookies
8e3e855c-918c-4761-b2d6-0f4aae1c5e0d,Chicken Paprika,Mix first 8 ingredients in a bag and shake the chicken to coat. Brown the chicken in hot oil. Place in large baking dish. Saute the garlic in oil for 1 minute. Blend in remaining ingredients. Stir and heat. Pour over chicken. Bake uncovered for 1 hour at 325 degrees.,
554e9f98-e7d8-4ebb-afac-6c4bb0b4eb52,Shrimp Pineapple Fried Rice,"Fry cooled rice in oil in a skillet. Add shrimp, onions and pineapple. Add soy sauce to taste.",
7b2495ed-a6b5-4c60-9608-19facb81416a,Easy Oven Baked Potatoes,"Cut potatoes and onions into 1/4 inch slices. Layer in baking dish. Combine remaining ingredients. Drizzle over top.

Bake at 350 degrees for 40 minutes covered. Uncover and bake 20 minutes more. Makes 8 servings.",
3b10f6f0-6412-4366-bd8d-483c88368511,Chicken With Pineapple,"Marinate chicken in mixture of sherry, soy sauce, and cornstarch. Drain, but",
063b51ab-a8b8-4714-8adc-992d507fd222,Orange-Poppy Seed Pound Cake,"Preheat oven to 325 degrees.  Grease and flour a 9x5x3 inch loaf pan; tap out excess flour.  In large bowl beat together softened butter, sugar, vanilla, and orange peel until pale and fluffy.  Beat in flour, then remaining ingredients, except the glaze (powdered sugar and 2 1/2 tsp. orange juice).  Mix until well blended.  Spread in prepared pan.  With handle of a wooden spoon, make 1/2 inch deep score down center length of batter.  Bake 50-60 minutes, until wooden pick inserted in center comes out clean.  Cool in pan on rack 30 minutes; invert onto rack; remove pan.  Cool completely.  To prepare glaze seal powdered sugar and orange juice in small zipper-style bag.  Gently massage mixture with fingers until blended and smooth.  Snip off corner of bag.  Drizzle glaze over cake.  Let stand 1 hour or until glaze is set.",Cakes
bddf6fe4-ade2-4015-9a1a-e69329e50a5a,Egg Foo Young,"Combine first 6 ingredients. Fry in oil to form 3 inch omelettes. To make brown gravy, melt butter, add flour combined with sugar and salt. Add hot water and soy sauce. Cook over low heat until thick. Serve gravy over omelettes.",
13c3dbac-33a6-4940-91a6-a5a6347ecab1,Bourbon Balls,"Melt chocolate in double boiler over hot water.  Combine syrup and liquid.  Combine crumbs, sugar, and nuts.  Add chocolate mixture.  Let stand 30 minutes.  Shape in 1"" balls.  Roll in granulated or powdered sugar.  Let ripen i covered container at lest 3 days.",Cookies
4f36d2fa-ee8b-49d7-b5a8-f6c54f5d4027,Old Fashioned Apple Pie,Combine first 4 ingredients.  Put in unbaked pie shell.  Slice butter on top. Cover with top crust.  Bake at 350 degrees for 1 hour.,Pies
e2341b46-b323-4b41-9865-cbf1625ee810,Peanut Butter Cookies,Form into balls.  Flatten with fork dipped in flour or sugar. Bake for 8 minutes at 375 degrees.,Cookies
fb5f6609-2b06-443d-8299-1f3437562059,Sour Cream Raisin Pie,"Boil raisins in water until plump.  Add flour and sugar.  Cook to thicken slightly then add egg yolks, sour cream, vanilla and nutmeg.  Pour into 9"" bottom crust.  Add top crust.  Sprinkle with sugar.  Bake 50 minutes at 350 degrees. ",Pies
d8ece918-913e-4a8b-a05e-a5761f4299a7,Tortilla Soup,"Cut 3 thin slices from the lime; set aside.  Squeeze 1 tsp juice from remaining lime; set aside.  In 2-qt. saucepan over medium heat, in 1 tbsp hot oil, cook onion, cumin, oregano, and garlic until onion is tender.  Add broth, water, tomato, chiles, and reserved lime juice.  Heat to boiling.  Reduce heat to low and cook for 10 minutes.  Meanwhile, cut tortillas into thin strips.  In a 10-inch skillet heat 1/2 inch oil to 375 degree.  Fry tortilla strips, a few at a time until crisp.  Remove to paper towel to drain.  Place several tortilla strips in 3 bowls.  Ladle soup into bowls; sprinkle with cheese.  Top with reserved lime slices and lettuce.  Serve immediately.",Soup
da40e23f-2f4c-4e9f-a1b1-f406fb6fb22f,Three Layer Chocolate Mayonnaise Cake,"Grease three 9"" layer pans, one with waxed paper.  Sift dry ingredients into large bowl.  Stir in mayonnaise.  Stir in water and vanilla until smooth.  Pour into pans.  Bake at 350 degrees for 30 minutes.  Cool.  Frost with chocolate frosting.",Cakes
4e9d3eaf-529b-4347-8e8b-f9fc1fab7bc2,Chinese Fried Rice,"Saute onion and meat in oil. Add other ingredients except egg. Cook on low heat about 15 to 20 minutes. Beat egg with a tablespoon of milk. Melt butter in skillet, pour in egg and cook until solid. Slice in thin strips to put over the rice as garnish on the platter.",
3b4ea72e-ee10-4374-811b-b610b53c5649,Lemon Meringue Pie,"Mix sugar, cornstarch, and salt in top of double boiler.  Place over boiling water and add remaining ingredients.  Cook until thick, stirring with whip.  Put into baked pie shell.  Top with meringue.  To make meringue whip 3 egg whites until stiff.  Add 1/4 cup sugar.  Brown 5 to 10 minutes in 400 degree oven.  Chill.  ",Pies
819069be-ef26-4670-aa2c-321c53ed6c94,Snickerdoodles,Mix first 7 ingredients.  Roll in balls.  Dip in mixture of cinnamon and sugar.  Bake for 8-10 minutes at 375 degrees.  Makes 4 dozen.,Cookies
820b1fcf-9cb2-4447-823d-dd8b33f8bf36,Chinese Beef,"Cut steak into thin strips. Quarter tomatoes, cut pepper in bug chunks. Heat oil in skillet. Add beef, crushed garlic, slat, pepper, and ginger. Fry over high heat until brown. Add soy sauce and sugar. Cover tightly. Cook slowly 5 minutes. Add tomatoes, peppers, and sprouts. Bring to a boil, cover, cook briskly 5 minutes. Make a smooth paste of cornstarch and water. Add to beef. Cook until sauce thickens slightly. Stir occasionally.",
d095d30f-867e-471d-8fb5-b3524be63aba,Cucumbers in Sour Cream,Stir together.  Refrigerate 30 minutes.,Salads and Dressings
fa4a8519-3636-450b-9149-03bc52919a66,Cheese Strata,"Arrange bread and cheese in alternate layers in greased baking dish. Bread on top and bottom. Combine eggs, milk, and seasonings. Pour over bread and cheese. Chill 1 hour. Bake 1 hour at 350 degrees or until set.",
